Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
six-belted clearwing,52.014,382,Bembecia ichneumoniformis,Six-belted Clearwing,Macro-moth,1,ichneumoniformis
52.015,52.015,384,Pyropteron chrysidiformis,Fiery Clearwing,Macro-moth,1,chrysidiformis
384,52.015,384,Pyropteron chrysidiformis,Fiery Clearwing,Macro-moth,1,chrysidiformis
fiery clearwing,52.015,384,Pyropteron chrysidiformis,Fiery Clearwing,Macro-moth,1,chrysidiformis
pychr,52.015,384,Pyropteron chrysidiformis,Fiery Clearwing,Macro-moth,1,chrysidiformis
pyropteron chrysidiformis,52.015,384,Pyropteron chrysidiformis,Fiery Clearwing,Macro-moth,1,chrysidiformis
52.016,52.016,383,Pyropteron muscaeformis,Thrift Clearwing,Macro-moth,1,muscaeformis
383,52.016,383,Pyropteron muscaeformis,Thrift Clearwing,Macro-moth,1,muscaeformis
pymus,52.016,383,Pyropteron muscaeformis,Thrift Clearwing,Macro-moth,1,muscaeformis
pyropteron muscaeformis,52.016,383,Pyropteron muscaeformis,Thrift Clearwing,Macro-moth,1,muscaeformis
thrift clearwing,52.016,383,Pyropteron muscaeformis,Thrift Clearwing,Macro-moth,1,muscaeformis
53.001,53.001,173,Apoda limacodes,Festoon,Macro-moth,1,limacodes
173,53.001,173,Apoda limacodes,Festoon,Macro-moth,1,limacodes
aplim,53.001,173,Apoda limacodes,Festoon,Macro-moth,1,limacodes
apoda limacodes,53.001,173,Apoda limacodes,Festoon,Macro-moth,1,limacodes
festoon,53.001,173,Apoda limacodes,Festoon,Macro-moth,1,limacodes
53.002,53.002,174,Heterogenea asella,Triangle,Macro-moth,1,asella
174,53.002,174,Heterogenea asella,Triangle,Macro-moth,1,asella
hease,53.002,174,Heterogenea asella,Triangle,Macro-moth,1,asella
heterogenea asella,53.002,174,Heterogenea asella,Triangle,Macro-moth,1,asella
triangle,53.002,174,Heterogenea asella,Triangle,Macro-moth,1,asella
54.001,54.001,165,Jordanita globulariae,Scarce Forester,Macro-moth,3,globulariae
165,54.001,165,Jordanita globulariae,Scarce Forester,Macro-moth,3,globulariae
joglo,54.001,165,Jordanita globulariae,Scarce Forester,Macro-moth,3,globulariae
jordanita globulariae,54.001,165,Jordanita globulariae,Scarce Forester,Macro-moth,3,globulariae
