Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
eusat,70.177,1828,Eupithecia satyrata,Satyr Pug,Macro-moth,2,satyrata
satyr pug,70.177,1828,Eupithecia satyrata,Satyr Pug,Macro-moth,2,satyrata
70.178,70.178,1847,Eupithecia extensaria,Scarce Pug,Macro-moth,2,extensaria
1847,70.178,1847,Eupithecia extensaria,Scarce Pug,Macro-moth,2,extensaria
euext,70.178,1847,Eupithecia extensaria,Scarce Pug,Macro-moth,2,extensaria
eupithecia extensaria,70.178,1847,Eupithecia extensaria,Scarce Pug,Macro-moth,2,extensaria
scarce pug,70.178,1847,Eupithecia extensaria,Scarce Pug,Macro-moth,2,extensaria
70.179,70.179,1830,Eupithecia absinthiata,Wormwood Pug,Macro-moth,2,absinthiata
1830,70.179,1830,Eupithecia absinthiata,Wormwood Pug,Macro-moth,2,absinthiata
euabs,70.179,1830,Eupithecia absinthiata,Wormwood Pug,Macro-moth,2,absinthiata
eupithecia absinthiata,70.179,1830,Eupithecia absinthiata,Wormwood Pug,Macro-moth,2,absinthiata
wormwood pug,70.179,1830,Eupithecia absinthiata,Wormwood Pug,Macro-moth,2,absinthiata
70.18,70.18,1833,Eupithecia expallidata,Bleached Pug,Macro-moth,3,expallidata
1833,70.18,1833,Eupithecia expallidata,Bleached Pug,Macro-moth,3,expallidata
bleached pug,70.18,1833,Eupithecia expallidata,Bleached Pug,Macro-moth,3,expallidata
euexp,70.18,1833,Eupithecia expallidata,Bleached Pug,Macro-moth,3,expallidata
eupithecia expallidata,70.18,1833,Eupithecia expallidata,Bleached Pug,Macro-moth,3,expallidata
70.181,70.181,1821,Eupithecia valerianata,Valerian Pug,Macro-moth,2,valerianata
1821,70.181,1821,Eupithecia valerianata,Valerian Pug,Macro-moth,2,valerianata
eupithecia valerianata,70.181,1821,Eupithecia valerianata,Valerian Pug,Macro-moth,2,valerianata
euval,70.181,1821,Eupithecia valerianata,Valerian Pug,Macro-moth,2,valerianata
valerian pug,70.181,1821,Eupithecia valerianata,Valerian Pug,Macro-moth,2,valerianata
70.182,70.182,1832,Eupithecia assimilata,Currant Pug,Macro-moth,2,assimilata
1832,70.182,1832,Eupithecia assimilata,Currant Pug,Macro-moth,2,assimilata
currant pug,70.182,1832,Eupithecia assimilata,Currant Pug,Macro-moth,2,assimilata
euass,70.182,1832,Eupithecia assimilata,Currant Pug,Macro-moth,2,assimilata
eupithecia assimilata,70.182,1832,Eupithecia assimilata,Currant Pug,Macro-moth,2,assimilata
70.183,70.183,1834,Eupithecia vulgata,Common Pug,Macro-moth,2,vulgata
1834,70.183,1834,Eupithecia vulgata,Common Pug,Macro-moth,2,vulgata
common pug,70.183,1834,Eupithecia vulgata,Common Pug,Macro-moth,2,vulgata
eupithecia vulgata,70.183,1834,Eupithecia vulgata,Common Pug,Macro-moth,2,vulgata
euvul,70.183,1834,Eupithecia vulgata,Common Pug,Macro-moth,2,vulgata
70.184,70.184,1819,Eupithecia exiguata,Mottled Pug,Macro-moth,2,exiguata
1819,70.184,1819,Eupithecia exiguata,Mottled Pug,Macro-moth,2,exiguata
euexi,70.184,1819,Eupithecia exiguata,Mottled Pug,Macro-moth,2,exiguata
eupithecia exiguata,70.184,1819,Eupithecia exiguata,Mottled Pug,Macro-moth,2,exiguata
mottled pug,70.184,1819,Eupithecia exiguata,Mottled Pug,Macro-moth,2,exiguata
70.185,70.185,1836,Eupithecia denotata,Campanula Pug,Macro-moth,3,denotata
1836,70.185,1836,Eupithecia denotata,Campanula Pug,Macro-moth,3,denotata
campanula pug,70.185,1836,Eupithecia denotata,Campanula Pug,Macro-moth,3,denotata
euden,70.185,1836,Eupithecia denotata,Campanula Pug,Macro-moth,3,denotata
eupithecia denotata,70.185,1836,Eupithecia denotata,Campanula Pug,Macro-moth,3,denotata
70.186,70.186,1841,Eupithecia millefoliata,Yarrow Pug,Macro-moth,3,millefoliata
1841,70.186,1841,Eupithecia millefoliata,Yarrow Pug,Macro-moth,3,millefoliata
eumil,70.186,1841,Eupithecia millefoliata,Yarrow Pug,Macro-moth,3,millefoliata
eupithecia millefoliata,70.186,1841,Eupithecia millefoliata,Yarrow Pug,Macro-moth,3,millefoliata
yarrow pug,70.186,1841,Eupithecia millefoliata,Yarrow Pug,Macro-moth,3,millefoliata
70.187,70.187,1838,Eupithecia icterata,Tawny Speckled Pug,Macro-moth,2,icterata
1838,70.187,1838,Eupithecia icterata,Tawny Speckled Pug,Macro-moth,2,icterata
euict,70.187,1838,Eupithecia icterata,Tawny Speckled Pug,Macro-moth,2,icterata
eupithecia icterata,70.187,1838,Eupithecia icterata,Tawny Speckled Pug,Macro-moth,2,icterata
tawny speckled pug,70.187,1838,Eupithecia icterata,Tawny Speckled Pug,Macro-moth,2,icterata
70.188,70.188,1839,Eupithecia succenturiata,Bordered Pug,Macro-moth,2,succenturiata
1839,70.188,1839,Eupithecia succenturiata,Bordered Pug,Macro-moth,2,succenturiata
bordered pug,70.188,1839,Eupithecia succenturiata,Bordered Pug,Macro-moth,2,succenturiata
eupithecia succenturiata,70.188,1839,Eupithecia succenturiata,Bordered Pug,Macro-moth,2,succenturiata
eusuc,70.188,1839,Eupithecia succenturiata,Bordered Pug,Macro-moth,2,succenturiata
70.189,70.189,1840,Eupithecia subumbrata,Shaded Pug,Macro-moth,2,subumbrata
1840,70.189,1840,Eupithecia subumbrata,Shaded Pug,Macro-moth,2,subumbrata
eupithecia subumbrata,70.189,1840,Eupithecia subumbrata,Shaded Pug,Macro-moth,2,subumbrata
eusub1,70.189,1840,Eupithecia subumbrata,Shaded Pug,Macro-moth,2,subumbrata
shaded pug,70.189,1840,Eupithecia subumbrata,Shaded Pug,Macro-moth,2,subumbrata
70.19,70.19,1837,Eupithecia subfuscata,Grey Pug,Macro-moth,2,subfuscata
1837,70.19,1837,Eupithecia subfuscata,Grey Pug,Macro-moth,2,subfuscata
eupithecia subfuscata,70.19,1837,Eupithecia subfuscata,Grey Pug,Macro-moth,2,subfuscata
eusub2,70.19,1837,Eupithecia subfuscata,Grey Pug,Macro-moth,2,subfuscata
grey pug,70.19,1837,Eupithecia subfuscata,Grey Pug,Macro-moth,2,subfuscata
70.191,70.191,1866,Carsia sororiata,Manchester Treble-bar,Macro-moth,1,sororiata
1866,70.191,1866,Carsia sororiata,Manchester Treble-bar,Macro-moth,1,sororiata
carsia sororiata,70.191,1866,Carsia sororiata,Manchester Treble-bar,Macro-moth,1,sororiata
casor,70.191,1866,Carsia sororiata,Manchester Treble-bar,Macro-moth,1,sororiata
manchester treble-bar,70.191,1866,Carsia sororiata,Manchester Treble-bar,Macro-moth,1,sororiata
70.192,70.192,1867,Aplocera plagiata,Treble-bar,Macro-moth,2,plagiata
1867,70.192,1867,Aplocera plagiata,Treble-bar,Macro-moth,2,plagiata
aplocera plagiata,70.192,1867,Aplocera plagiata,Treble-bar,Macro-moth,2,plagiata
appla,70.192,1867,Aplocera plagiata,Treble-bar,Macro-moth,2,plagiata
treble-bar,70.192,1867,Aplocera plagiata,Treble-bar,Macro-moth,2,plagiata
70.193,70.193,1868,Aplocera efformata,Lesser Treble-bar,Macro-moth,2,efformata
1868,70.193,1868,Aplocera efformata,Lesser Treble-bar,Macro-moth,2,efformata
apeff,70.193,1868,Aplocera efformata,Lesser Treble-bar,Macro-moth,2,efformata
aplocera efformata,70.193,1868,Aplocera efformata,Lesser Treble-bar,Macro-moth,2,efformata
lesser treble-bar,70.193,1868,Aplocera efformata,Lesser Treble-bar,Macro-moth,2,efformata
70.194,70.194,1869,Aplocera praeformata,Purple Treble-bar,Macro-moth,2,praeformata
1869,70.194,1869,Aplocera praeformata,Purple Treble-bar,Macro-moth,2,praeformata
aplocera praeformata,70.194,1869,Aplocera praeformata,Purple Treble-bar,Macro-moth,2,praeformata
appra,70.194,1869,Aplocera praeformata,Purple Treble-bar,Macro-moth,2,praeformata
purple treble-bar,70.194,1869,Aplocera praeformata,Purple Treble-bar,Macro-moth,2,praeformata
70.195,70.195,1864,Chesias legatella,Streak,Macro-moth,1,legatella
1864,70.195,1864,Chesias legatella,Streak,Macro-moth,1,legatella
chesias legatella,70.195,1864,Chesias legatella,Streak,Macro-moth,1,legatella
chleg,70.195,1864,Chesias legatella,Streak,Macro-moth,1,legatella
streak,70.195,1864,Chesias legatella,Streak,Macro-moth,1,legatella
70.196,70.196,1865,Chesias rufata,Broom-tip,Macro-moth,1,rufata
1865,70.196,1865,Chesias rufata,Broom-tip,Macro-moth,1,rufata
broom-tip,70.196,1865,Chesias rufata,Broom-tip,Macro-moth,1,rufata
chesias rufata,70.196,1865,Chesias rufata,Broom-tip,Macro-moth,1,rufata
chruf,70.196,1865,Chesias rufata,Broom-tip,Macro-moth,1,rufata
70.197,70.197,1871,Lithostege griseata,Grey Carpet,Macro-moth,1,griseata
1871,70.197,1871,Lithostege griseata,Grey Carpet,Macro-moth,1,griseata
grey carpet,70.197,1871,Lithostege griseata,Grey Carpet,Macro-moth,1,griseata
ligri,70.197,1871,Lithostege griseata,Grey Carpet,Macro-moth,1,griseata
lithostege griseata,70.197,1871,Lithostege griseata,Grey Carpet,Macro-moth,1,griseata
70.198,70.198,1879,Lobophora halterata,Seraphim,Macro-moth,2,halterata
1879,70.198,1879,Lobophora halterata,Seraphim,Macro-moth,2,halterata
lobophora halterata,70.198,1879,Lobophora halterata,Seraphim,Macro-moth,2,halterata
lohal,70.198,1879,Lobophora halterata,Seraphim,Macro-moth,2,halterata
seraphim,70.198,1879,Lobophora halterata,Seraphim,Macro-moth,2,halterata
70.199,70.199,1882,Pterapherapteryx sexalata,Small Seraphim,Macro-moth,2,sexalata
1882,70.199,1882,Pterapherapteryx sexalata,Small Seraphim,Macro-moth,2,sexalata
pterapherapteryx sexalata,70.199,1882,Pterapherapteryx sexalata,Small Seraphim,Macro-moth,2,sexalata
ptsex,70.199,1882,Pterapherapteryx sexalata,Small Seraphim,Macro-moth,2,sexalata
small seraphim,70.199,1882,Pterapherapteryx sexalata,Small Seraphim,Macro-moth,2,sexalata
70.2,70.2,1883,Acasis viretata,Yellow-barred Brindle,Macro-moth,1,viretata
1883,70.2,1883,Acasis viretata,Yellow-barred Brindle,Macro-moth,1,viretata
acasis viretata,70.2,1883,Acasis viretata,Yellow-barred Brindle,Macro-moth,1,viretata
acvir,70.2,1883,Acasis viretata,Yellow-barred Brindle,Macro-moth,1,viretata
ybb,70.2,1883,Acasis viretata,Yellow-barred Brindle,Macro-moth,1,viretata
yellow-barred brindle,70.2,1883,Acasis viretata,Yellow-barred Brindle,Macro-moth,1,viretata
70.201,70.201,1880,Trichopteryx polycommata,Barred Tooth-striped,Macro-moth,2,polycommata
1880,70.201,1880,Trichopteryx polycommata,Barred Tooth-striped,Macro-moth,2,polycommata
barred tooth-striped,70.201,1880,Trichopteryx polycommata,Barred Tooth-striped,Macro-moth,2,polycommata
trichopteryx polycommata,70.201,1880,Trichopteryx polycommata,Barred Tooth-striped,Macro-moth,2,polycommata
trpol,70.201,1880,Trichopteryx polycommata,Barred Tooth-striped,Macro-moth,2,polycommata
70.202,70.202,1881,Trichopteryx carpinata,Early Tooth-striped,Macro-moth,2,carpinata
1881,70.202,1881,Trichopteryx carpinata,Early Tooth-striped,Macro-moth,2,carpinata
early tooth-striped,70.202,1881,Trichopteryx carpinata,Early Tooth-striped,Macro-moth,2,carpinata
trcar,70.202,1881,Trichopteryx carpinata,Early Tooth-striped,Macro-moth,2,carpinata
trichopteryx carpinata,70.202,1881,Trichopteryx carpinata,Early Tooth-striped,Macro-moth,2,carpinata
70.203,70.203,1661,Archiearis parthenias,Orange Underwing,Macro-moth,2,parthenias
1661,70.203,1661,Archiearis parthenias,Orange Underwing,Macro-moth,2,parthenias
archiearis parthenias,70.203,1661,Archiearis parthenias,Orange Underwing,Macro-moth,2,parthenias
arpar,70.203,1661,Archiearis parthenias,Orange Underwing,Macro-moth,2,parthenias
orange underwing,70.203,1661,Archiearis parthenias,Orange Underwing,Macro-moth,2,parthenias
70.204,70.204,1662,Archiearis notha,Light Orange Underwing,Macro-moth,Ungraded,notha
1662,70.204,1662,Archiearis notha,Light Orange Underwing,Macro-moth,Ungraded,notha
archiearis notha,70.204,1662,Archiearis notha,Light Orange Underwing,Macro-moth,Ungraded,notha
arnot,70.204,1662,Archiearis notha,Light Orange Underwing,Macro-moth,Ungraded,notha
light orange underwing,70.204,1662,Archiearis notha,Light Orange Underwing,Macro-moth,Ungraded,notha
70.205,70.205,1884,Abraxas grossulariata,Magpie Moth,Macro-moth,1,grossulariata
1884,70.205,1884,Abraxas grossulariata,Magpie Moth,Macro-moth,1,grossulariata
abgro,70.205,1884,Abraxas grossulariata,Magpie Moth,Macro-moth,1,grossulariata
abraxas grossulariata,70.205,1884,Abraxas grossulariata,Magpie Moth,Macro-moth,1,grossulariata
magpie moth,70.205,1884,Abraxas grossulariata,Magpie Moth,Macro-moth,1,grossulariata
70.206,70.206,1885,Abraxas sylvata,Clouded Magpie,Macro-moth,1,sylvata
1885,70.206,1885,Abraxas sylvata,Clouded Magpie,Macro-moth,1,sylvata
abraxas sylvata,70.206,1885,Abraxas sylvata,Clouded Magpie,Macro-moth,1,sylvata
absyl,70.206,1885,Abraxas sylvata,Clouded Magpie,Macro-moth,1,sylvata
clouded magpie,70.206,1885,Abraxas sylvata,Clouded Magpie,Macro-moth,1,sylvata
70.207,70.207,1887,Lomaspilis marginata,Clouded Border,Macro-moth,1,marginata
1887,70.207,1887,Lomaspilis marginata,Clouded Border,Macro-moth,1,marginata
clouded border,70.207,1887,Lomaspilis marginata,Clouded Border,Macro-moth,1,marginata
lomar,70.207,1887,Lomaspilis marginata,Clouded Border,Macro-moth,1,marginata
lomaspilis marginata,70.207,1887,Lomaspilis marginata,Clouded Border,Macro-moth,1,marginata
70.208,70.208,1888,Ligdia adustata,Scorched Carpet,Macro-moth,1,adustata
1888,70.208,1888,Ligdia adustata,Scorched Carpet,Macro-moth,1,adustata
liadu,70.208,1888,Ligdia adustata,Scorched Carpet,Macro-moth,1,adustata
ligdia adustata,70.208,1888,Ligdia adustata,Scorched Carpet,Macro-moth,1,adustata
scorched carpet,70.208,1888,Ligdia adustata,Scorched Carpet,Macro-moth,1,adustata
70.209,70.209,1888b,Stegania cararia,Ringed Border,Macro-moth,1,cararia
1888b,70.209,1888b,Stegania cararia,Ringed Border,Macro-moth,1,cararia
ringed border,70.209,1888b,Stegania cararia,Ringed Border,Macro-moth,1,cararia
stcar2,70.209,1888b,Stegania cararia,Ringed Border,Macro-moth,1,cararia
stegania cararia,70.209,1888b,Stegania cararia,Ringed Border,Macro-moth,1,cararia
70.21,70.21,1888a,Stegania trimaculata,Dorset Cream Wave,Macro-moth,2,trimaculata
1888a,70.21,1888a,Stegania trimaculata,Dorset Cream Wave,Macro-moth,2,trimaculata
dorset cream wave,70.21,1888a,Stegania trimaculata,Dorset Cream Wave,Macro-moth,2,trimaculata
stegania trimaculata,70.21,1888a,Stegania trimaculata,Dorset Cream Wave,Macro-moth,2,trimaculata
sttri2,70.21,1888a,Stegania trimaculata,Dorset Cream Wave,Macro-moth,2,trimaculata
70.211,70.211,1889,Macaria notata,Peacock Moth,Macro-moth,2,notata
1889,70.211,1889,Macaria notata,Peacock Moth,Macro-moth,2,notata
macaria notata,70.211,1889,Macaria notata,Peacock Moth,Macro-moth,2,notata
manot,70.211,1889,Macaria notata,Peacock Moth,Macro-moth,2,notata
peacock moth,70.211,1889,Macaria notata,Peacock Moth,Macro-moth,2,notata
70.212,70.212,1890,Macaria alternata,Sharp-angled Peacock,Macro-moth,2,alternata
1890,70.212,1890,Macaria alternata,Sharp-angled Peacock,Macro-moth,2,alternata
maalt,70.212,1890,Macaria alternata,Sharp-angled Peacock,Macro-moth,2,alternata
macaria alternata,70.212,1890,Macaria alternata,Sharp-angled Peacock,Macro-moth,2,alternata
sharp-angled peacock,70.212,1890,Macaria alternata,Sharp-angled Peacock,Macro-moth,2,alternata
70.213,70.213,1891,Macaria signaria,Dusky Peacock,Macro-moth,2,signaria
1891,70.213,1891,Macaria signaria,Dusky Peacock,Macro-moth,2,signaria
dusky peacock,70.213,1891,Macaria signaria,Dusky Peacock,Macro-moth,2,signaria
macaria signaria,70.213,1891,Macaria signaria,Dusky Peacock,Macro-moth,2,signaria
masig,70.213,1891,Macaria signaria,Dusky Peacock,Macro-moth,2,signaria
70.214,70.214,1893,Macaria liturata,Tawny-barred Angle,Macro-moth,1,liturata
1893,70.214,1893,Macaria liturata,Tawny-barred Angle,Macro-moth,1,liturata
macaria liturata,70.214,1893,Macaria liturata,Tawny-barred Angle,Macro-moth,1,liturata
malit,70.214,1893,Macaria liturata,Tawny-barred Angle,Macro-moth,1,liturata
tawny-barred angle,70.214,1893,Macaria liturata,Tawny-barred Angle,Macro-moth,1,liturata
70.215,70.215,1897,Macaria wauaria,V-Moth,Macro-moth,1,wauaria
1897,70.215,1897,Macaria wauaria,V-Moth,Macro-moth,1,wauaria
macaria wauaria,70.215,1897,Macaria wauaria,V-Moth,Macro-moth,1,wauaria
mawau,70.215,1897,Macaria wauaria,V-Moth,Macro-moth,1,wauaria
v-moth,70.215,1897,Macaria wauaria,V-Moth,Macro-moth,1,wauaria
70.216,70.216,1895,Macaria carbonaria,Netted Mountain Moth,Macro-moth,2,carbonaria
1895,70.216,1895,Macaria carbonaria,Netted Mountain Moth,Macro-moth,2,carbonaria
macar,70.216,1895,Macaria carbonaria,Netted Mountain Moth,Macro-moth,2,carbonaria
macaria carbonaria,70.216,1895,Macaria carbonaria,Netted Mountain Moth,Macro-moth,2,carbonaria
netted mountain moth,70.216,1895,Macaria carbonaria,Netted Mountain Moth,Macro-moth,2,carbonaria
70.217,70.217,1896,Macaria brunneata,Rannoch Looper,Macro-moth,1,brunneata
1896,70.217,1896,Macaria brunneata,Rannoch Looper,Macro-moth,1,brunneata
mabru,70.217,1896,Macaria brunneata,Rannoch Looper,Macro-moth,1,brunneata
macaria brunneata,70.217,1896,Macaria brunneata,Rannoch Looper,Macro-moth,1,brunneata
rannoch looper,70.217,1896,Macaria brunneata,Rannoch Looper,Macro-moth,1,brunneata
70.218,70.218,1894,Chiasmia clathrata,Latticed Heath,Macro-moth,2,clathrata
1894,70.218,1894,Chiasmia clathrata,Latticed Heath,Macro-moth,2,clathrata
chcla,70.218,1894,Chiasmia clathrata,Latticed Heath,Macro-moth,2,clathrata
chiasmia clathrata,70.218,1894,Chiasmia clathrata,Latticed Heath,Macro-moth,2,clathrata
latticed heath,70.218,1894,Chiasmia clathrata,Latticed Heath,Macro-moth,2,clathrata
70.219,70.219,1894a,Chiasmia aestimaria,Tamarisk Peacock,Macro-moth,2,aestimaria
1894a,70.219,1894a,Chiasmia aestimaria,Tamarisk Peacock,Macro-moth,2,aestimaria
chaes,70.219,1894a,Chiasmia aestimaria,Tamarisk Peacock,Macro-moth,2,aestimaria
chiasmia aestimaria,70.219,1894a,Chiasmia aestimaria,Tamarisk Peacock,Macro-moth,2,aestimaria
tamarisk peacock,70.219,1894a,Chiasmia aestimaria,Tamarisk Peacock,Macro-moth,2,aestimaria
70.22,70.22,1899,Isturgia limbaria,Frosted Yellow,Macro-moth,1,limbaria
1899,70.22,1899,Isturgia limbaria,Frosted Yellow,Macro-moth,1,limbaria
frosted yellow,70.22,1899,Isturgia limbaria,Frosted Yellow,Macro-moth,1,limbaria
islim,70.22,1899,Isturgia limbaria,Frosted Yellow,Macro-moth,1,limbaria
isturgia limbaria,70.22,1899,Isturgia limbaria,Frosted Yellow,Macro-moth,1,limbaria
70.221,70.221,1901,Cepphis advenaria,Little Thorn,Macro-moth,1,advenaria
1901,70.221,1901,Cepphis advenaria,Little Thorn,Macro-moth,1,advenaria
ceadv,70.221,1901,Cepphis advenaria,Little Thorn,Macro-moth,1,advenaria
cepphis advenaria,70.221,1901,Cepphis advenaria,Little Thorn,Macro-moth,1,advenaria
little thorn,70.221,1901,Cepphis advenaria,Little Thorn,Macro-moth,1,advenaria
70.222,70.222,1902,Petrophora chlorosata,Brown Silver-line,Macro-moth,1,chlorosata
1902,70.222,1902,Petrophora chlorosata,Brown Silver-line,Macro-moth,1,chlorosata
brown silver-line,70.222,1902,Petrophora chlorosata,Brown Silver-line,Macro-moth,1,chlorosata
pechl,70.222,1902,Petrophora chlorosata,Brown Silver-line,Macro-moth,1,chlorosata
petrophora chlorosata,70.222,1902,Petrophora chlorosata,Brown Silver-line,Macro-moth,1,chlorosata
70.223,70.223,1903,Plagodis pulveraria,Barred Umber,Macro-moth,1,pulveraria
1903,70.223,1903,Plagodis pulveraria,Barred Umber,Macro-moth,1,pulveraria
barred umber,70.223,1903,Plagodis pulveraria,Barred Umber,Macro-moth,1,pulveraria
plagodis pulveraria,70.223,1903,Plagodis pulveraria,Barred Umber,Macro-moth,1,pulveraria
plpul,70.223,1903,Plagodis pulveraria,Barred Umber,Macro-moth,1,pulveraria
70.224,70.224,1904,Plagodis dolabraria,Scorched Wing,Macro-moth,1,dolabraria
1904,70.224,1904,Plagodis dolabraria,Scorched Wing,Macro-moth,1,dolabraria
plagodis dolabraria,70.224,1904,Plagodis dolabraria,Scorched Wing,Macro-moth,1,dolabraria
pldol,70.224,1904,Plagodis dolabraria,Scorched Wing,Macro-moth,1,dolabraria
scorched wing,70.224,1904,Plagodis dolabraria,Scorched Wing,Macro-moth,1,dolabraria
70.225,70.225,1905,Pachycnemia hippocastanaria,Horse Chestnut,Macro-moth,2,hippocastanaria
1905,70.225,1905,Pachycnemia hippocastanaria,Horse Chestnut,Macro-moth,2,hippocastanaria
horse chestnut,70.225,1905,Pachycnemia hippocastanaria,Horse Chestnut,Macro-moth,2,hippocastanaria
pachycnemia hippocastanaria,70.225,1905,Pachycnemia hippocastanaria,Horse Chestnut,Macro-moth,2,hippocastanaria
pahip,70.225,1905,Pachycnemia hippocastanaria,Horse Chestnut,Macro-moth,2,hippocastanaria
70.226,70.226,1906,Opisthograptis luteolata,Brimstone Moth,Macro-moth,1,luteolata
1906,70.226,1906,Opisthograptis luteolata,Brimstone Moth,Macro-moth,1,luteolata
brimstone moth,70.226,1906,Opisthograptis luteolata,Brimstone Moth,Macro-moth,1,luteolata
opisthograptis luteolata,70.226,1906,Opisthograptis luteolata,Brimstone Moth,Macro-moth,1,luteolata
oplut,70.226,1906,Opisthograptis luteolata,Brimstone Moth,Macro-moth,1,luteolata
70.227,70.227,1907,Epione repandaria,Bordered Beauty,Macro-moth,1,repandaria
1907,70.227,1907,Epione repandaria,Bordered Beauty,Macro-moth,1,repandaria
bordered beauty,70.227,1907,Epione repandaria,Bordered Beauty,Macro-moth,1,repandaria
epione repandaria,70.227,1907,Epione repandaria,Bordered Beauty,Macro-moth,1,repandaria
eprep,70.227,1907,Epione repandaria,Bordered Beauty,Macro-moth,1,repandaria
70.228,70.228,1908,Epione vespertaria,Dark Bordered Beauty,Macro-moth,2,vespertaria
1908,70.228,1908,Epione vespertaria,Dark Bordered Beauty,Macro-moth,2,vespertaria
dark bordered beauty,70.228,1908,Epione vespertaria,Dark Bordered Beauty,Macro-moth,2,vespertaria
epione vespertaria,70.228,1908,Epione vespertaria,Dark Bordered Beauty,Macro-moth,2,vespertaria
epves,70.228,1908,Epione vespertaria,Dark Bordered Beauty,Macro-moth,2,vespertaria
70.229,70.229,1909,Pseudopanthera macularia,Speckled Yellow,Macro-moth,1,macularia
1909,70.229,1909,Pseudopanthera macularia,Speckled Yellow,Macro-moth,1,macularia
pseudopanthera macularia,70.229,1909,Pseudopanthera macularia,Speckled Yellow,Macro-moth,1,macularia
psmac,70.229,1909,Pseudopanthera macularia,Speckled Yellow,Macro-moth,1,macularia
speckled yellow,70.229,1909,Pseudopanthera macularia,Speckled Yellow,Macro-moth,1,macularia
70.23,70.23,1924,Angerona prunaria,Orange Moth,Macro-moth,1,prunaria
1924,70.23,1924,Angerona prunaria,Orange Moth,Macro-moth,1,prunaria
angerona prunaria,70.23,1924,Angerona prunaria,Orange Moth,Macro-moth,1,prunaria
anpru,70.23,1924,Angerona prunaria,Orange Moth,Macro-moth,1,prunaria
orange moth,70.23,1924,Angerona prunaria,Orange Moth,Macro-moth,1,prunaria
70.231,70.231,1910,Apeira syringaria,Lilac Beauty,Macro-moth,1,syringaria
1910,70.231,1910,Apeira syringaria,Lilac Beauty,Macro-moth,1,syringaria
apeira syringaria,70.231,1910,Apeira syringaria,Lilac Beauty,Macro-moth,1,syringaria
apsyr,70.231,1910,Apeira syringaria,Lilac Beauty,Macro-moth,1,syringaria
lilac beauty,70.231,1910,Apeira syringaria,Lilac Beauty,Macro-moth,1,syringaria
70.232,70.232,1911,Ennomos autumnaria,Large Thorn,Macro-moth,1,autumnaria
1911,70.232,1911,Ennomos autumnaria,Large Thorn,Macro-moth,1,autumnaria
enaut,70.232,1911,Ennomos autumnaria,Large Thorn,Macro-moth,1,autumnaria
ennomos autumnaria,70.232,1911,Ennomos autumnaria,Large Thorn,Macro-moth,1,autumnaria
large thorn,70.232,1911,Ennomos autumnaria,Large Thorn,Macro-moth,1,autumnaria
70.233,70.233,1912,Ennomos quercinaria,August Thorn,Macro-moth,2,quercinaria
1912,70.233,1912,Ennomos quercinaria,August Thorn,Macro-moth,2,quercinaria
august thorn,70.233,1912,Ennomos quercinaria,August Thorn,Macro-moth,2,quercinaria
ennomos quercinaria,70.233,1912,Ennomos quercinaria,August Thorn,Macro-moth,2,quercinaria
enque,70.233,1912,Ennomos quercinaria,August Thorn,Macro-moth,2,quercinaria
70.234,70.234,1913,Ennomos alniaria,Canary-shouldered Thorn,Macro-moth,1,alniaria
1913,70.234,1913,Ennomos alniaria,Canary-shouldered Thorn,Macro-moth,1,alniaria
canary-shouldered thorn,70.234,1913,Ennomos alniaria,Canary-shouldered Thorn,Macro-moth,1,alniaria
cst,70.234,1913,Ennomos alniaria,Canary-shouldered Thorn,Macro-moth,1,alniaria
enaln,70.234,1913,Ennomos alniaria,Canary-shouldered Thorn,Macro-moth,1,alniaria
ennomos alniaria,70.234,1913,Ennomos alniaria,Canary-shouldered Thorn,Macro-moth,1,alniaria
70.235,70.235,1914,Ennomos fuscantaria,Dusky Thorn,Macro-moth,1,fuscantaria
1914,70.235,1914,Ennomos fuscantaria,Dusky Thorn,Macro-moth,1,fuscantaria
dt,70.235,1914,Ennomos fuscantaria,Dusky Thorn,Macro-moth,1,fuscantaria
enfus,70.235,1914,Ennomos fuscantaria,Dusky Thorn,Macro-moth,1,fuscantaria
ennomos fuscantaria,70.235,1914,Ennomos fuscantaria,Dusky Thorn,Macro-moth,1,fuscantaria
70.236,70.236,1915,Ennomos erosaria,September Thorn,Macro-moth,2,erosaria
1915,70.236,1915,Ennomos erosaria,September Thorn,Macro-moth,2,erosaria
enero,70.236,1915,Ennomos erosaria,September Thorn,Macro-moth,2,erosaria
ennomos erosaria,70.236,1915,Ennomos erosaria,September Thorn,Macro-moth,2,erosaria
st,70.236,1915,Ennomos erosaria,September Thorn,Macro-moth,2,erosaria
70.2361,70.2361,1916a,Ennomos subsignaria,Elm Spanworm,Macro-moth,Ungraded,subsignaria
1916a,70.2361,1916a,Ennomos subsignaria,Elm Spanworm,Macro-moth,Ungraded,subsignaria
elm spanworm,70.2361,1916a,Ennomos subsignaria,Elm Spanworm,Macro-moth,Ungraded,subsignaria
ennomos subsignaria,70.2361,1916a,Ennomos subsignaria,Elm Spanworm,Macro-moth,Ungraded,subsignaria
ensub,70.2361,1916a,Ennomos subsignaria,Elm Spanworm,Macro-moth,Ungraded,subsignaria
70.237,70.237,1917,Selenia dentaria,Early Thorn,Macro-moth,1,dentaria
1917,70.237,1917,Selenia dentaria,Early Thorn,Macro-moth,1,dentaria
early thorn,70.237,1917,Selenia dentaria,Early Thorn,Macro-moth,1,dentaria
